index,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance,Height
346,30.012,1511,137,2,33,17,Male,No,Yes,Caucasian,0,171.10594369047487
347,21.551,5380,420,5,51,18,Male,No,Yes,Asian,907,166.78864077048186
348,160.231,10748,754,2,69,17,Male,No,No,Caucasian,1192,172.72144308925309
349,13.433,1134,112,3,70,14,Male,No,Yes,Caucasian,0,167.95911734583296
350,48.577,5145,389,3,71,13,Female,No,Yes,Asian,503,171.58454962208953
351,30.002,1561,155,4,70,13,Female,No,Yes,Caucasian,0,166.2148006691697
352,61.62,5140,374,1,71,9,Male,No,Yes,Caucasian,302,170.19228939434743
353,104.483,7140,507,2,41,14,Male,No,Yes,African American,583,169.47810409362867
354,41.868,4716,342,2,47,18,Male,No,No,Caucasian,425,168.5623971007097
355,12.068,3873,292,1,44,18,Female,No,Yes,Asian,413,170.61919118571055
356,180.682,11966,832,2,58,8,Female,No,Yes,African American,1405,170.23854203541617
357,34.48,6090,442,3,36,14,Male,No,No,Caucasian,962,169.91639737329157
358,39.609,2539,188,1,40,14,Male,No,Yes,Asian,0,170.2387502609749
359,30.111,4336,339,1,81,18,Male,No,Yes,Caucasian,347,168.42488429928034
360,12.335,4471,344,3,79,12,Male,No,Yes,African American,611,166.7093761881228
361,53.566,5891,434,4,82,10,Female,No,No,Caucasian,712,166.78561339697885
362,53.217,4943,362,2,46,16,Female,No,Yes,Asian,382,172.12321564173902
363,26.162,5101,382,3,62,19,Female,No,No,African American,710,175.78502111075227
364,64.173,6127,433,1,80,10,Male,No,Yes,Caucasian,578,170.39224292324954
365,128.669,9824,685,3,67,16,Male,No,Yes,Asian,1243,174.1356492262256
366,113.772,6442,489,4,69,15,Male,Yes,Yes,Caucasian,790,174.54186572450726
367,61.069,7871,564,3,56,14,Male,No,Yes,Caucasian,1264,167.81941308419317
368,23.793,3615,263,2,70,14,Male,No,No,African American,216,163.27965291799714
369,89,5759,440,3,37,6,Female,No,No,Caucasian,345,162.72843440101855
370,71.682,8028,599,3,57,16,Male,No,Yes,Caucasian,1208,171.00554975414792
371,35.61,6135,466,4,40,12,Male,No,No,Caucasian,992,168.2123383297716
372,39.116,2150,173,4,75,15,Male,No,No,Caucasian,0,159.22801051538454
373,19.782,3782,293,2,46,16,Female,Yes,No,Caucasian,840,171.95867778559077
374,55.412,5354,383,2,37,16,Female,Yes,Yes,Caucasian,1003,168.42459494779123
375,29.4,4840,368,3,76,18,Female,No,Yes,Caucasian,588,169.33111546266034
376,20.974,5673,413,5,44,16,Female,No,Yes,Caucasian,1000,170.44175706632495
377,87.625,7167,515,2,46,10,Female,No,No,African American,767,164.02115864056853
378,28.144,1567,142,3,51,10,Male,No,Yes,Caucasian,0,163.40324050009337
379,19.349,4941,366,1,33,19,Male,No,Yes,Caucasian,717,172.96654464563784
380,53.308,2860,214,1,84,10,Male,No,Yes,Caucasian,0,172.0017743038711
381,115.123,7760,538,3,83,14,Female,No,No,African American,661,171.5488493013507
382,101.788,8029,574,2,84,11,Male,No,Yes,Caucasian,849,170.85760632910112
383,24.824,5495,409,1,33,9,Male,Yes,No,Caucasian,1352,161.7802846321266
384,14.292,3274,282,9,64,9,Male,No,Yes,Caucasian,382,169.10073257478464
385,20.088,1870,180,3,76,16,Male,No,No,African American,0,170.9441758485012
386,26.4,5640,398,3,58,15,Female,No,No,Asian,905,167.82401182975588
387,19.253,3683,287,4,57,10,Male,No,No,African American,371,167.00476303076982
388,16.529,1357,126,3,62,9,Male,No,No,Asian,0,167.8837555835653
389,37.878,6827,482,2,80,13,Female,No,No,Caucasian,1129,175.22018650558832
390,83.948,7100,503,2,44,18,Male,No,No,Caucasian,806,167.15103413293153
391,135.118,10578,747,3,81,15,Female,No,Yes,Asian,1393,174.11564292892257
392,73.327,6555,472,2,43,15,Female,No,No,Caucasian,721,173.41566508336263
393,25.974,2308,196,2,24,10,Male,No,No,Asian,0,168.58877705017602
394,17.316,1335,138,2,65,13,Male,No,No,African American,0,167.263609871542
395,49.794,5758,410,4,40,8,Male,No,No,Caucasian,734,166.2438422807293
396,12.096,4100,307,3,32,13,Male,No,Yes,Caucasian,560,168.07531762246023
397,13.364,3838,296,5,65,17,Male,No,No,African American,480,171.35278249343008
398,57.872,4171,321,5,67,12,Female,No,Yes,Caucasian,138,164.05732090879107
399,37.728,2525,192,1,44,13,Male,No,Yes,Caucasian,0,163.2312971748061
400,18.701,5524,415,5,64,7,Female,No,No,Asian,966,164.1433674900482
